Title,Channel,Video_id,Thumbnail,PublishTime,Labels
Imagine Dragons - Crushed (Official Video),ImagineDragonsVEVO,KSav7HayxtI,https://i.ytimg.com/vi/KSav7HayxtI/hqdefault.jpg,2023-05-10T16:00:22Z,0
LP - Golden (Official Music Video),LP,whwMBPc1EBE,https://i.ytimg.com/vi/whwMBPc1EBE/hqdefault.jpg,2023-05-10T17:15:10Z,0
Lana Del Rey feat Jon Batiste - Candy Necklace (Official Video),Lana Del Rey,C2e0H6MUWyU,https://i.ytimg.com/vi/C2e0H6MUWyU/hqdefault.jpg,2023-05-10T15:00:06Z,0
Kevin Gates - Do It Again (Official Music Video),kevingatesTV,YWtcDm-LIyM,https://i.ytimg.com/vi/YWtcDm-LIyM/hqdefault.jpg,2023-05-10T22:00:11Z,0
Meghan Trainor - Mother (Official Music Video),MeghanTrainorVEVO,9coyY-SPIXU,https://i.ytimg.com/vi/9coyY-SPIXU/hqdefault.jpg,2023-03-10T17:00:07Z,0
"Baby Tate &amp; Saweetie - Hey, Mickey! (Official Music Video)",Baby Tate,3aJsrdAvI4A,https://i.ytimg.com/vi/3aJsrdAvI4A/hqdefault.jpg,2023-05-10T16:00:11Z,0
Miley Cyrus - Flowers (Official Video),MileyCyrusVEVO,G7KNmW9a75Y,https://i.ytimg.com/vi/G7KNmW9a75Y/hqdefault.jpg,2023-01-13T00:00:09Z,0
Harry Styles - Satellite (Official Video),HarryStylesVEVO,bGZplqeIb3w,https://i.ytimg.com/vi/bGZplqeIb3w/hqdefault.jpg,2023-05-03T16:00:07Z,0
Imagine Dragons - Bones (Official Music Video),ImagineDragonsVEVO,TO-_3tck2tg,https://i.ytimg.com/vi/TO-_3tck2tg/hqdefault.jpg,2022-04-06T16:00:15Z,0
Avery Anna - Self Love (Official Music Video),Avery Anna,s7ibuVG9v_4,https://i.ytimg.com/vi/s7ibuVG9v_4/hqdefault.jpg,2023-05-08T14:00:08Z,0
