Title,Channel,Video_id,Thumbnail,PublishTime,Labels,Image_Name,Class_Name,Image_Path
Imagine Dragons - Crushed (Official Video),ImagineDragonsVEVO,KSav7HayxtI,https://i.ytimg.com/vi/KSav7HayxtI/hqdefault.jpg,2023-05-10T16:00:22Z,0,KSav7HayxtI,Music,data/Music/KSav7HayxtI.jpg
LP - Golden (Official Music Video),LP,whwMBPc1EBE,https://i.ytimg.com/vi/whwMBPc1EBE/hqdefault.jpg,2023-05-10T17:15:10Z,0,whwMBPc1EBE,Music,data/Music/whwMBPc1EBE.jpg
Lana Del Rey feat Jon Batiste - Candy Necklace (Official Video),Lana Del Rey,C2e0H6MUWyU,https://i.ytimg.com/vi/C2e0H6MUWyU/hqdefault.jpg,2023-05-10T15:00:06Z,0,C2e0H6MUWyU,Music,data/Music/C2e0H6MUWyU.jpg
Kevin Gates - Do It Again (Official Music Video),kevingatesTV,YWtcDm-LIyM,https://i.ytimg.com/vi/YWtcDm-LIyM/hqdefault.jpg,2023-05-10T22:00:11Z,0,YWtcDm-LIyM,Music,data/Music/YWtcDm-LIyM.jpg
Meghan Trainor - Mother (Official Music Video),MeghanTrainorVEVO,9coyY-SPIXU,https://i.ytimg.com/vi/9coyY-SPIXU/hqdefault.jpg,2023-03-10T17:00:07Z,0,9coyY-SPIXU,Music,data/Music/9coyY-SPIXU.jpg
"Baby Tate &amp; Saweetie - Hey, Mickey! (Official Music Video)",Baby Tate,3aJsrdAvI4A,https://i.ytimg.com/vi/3aJsrdAvI4A/hqdefault.jpg,2023-05-10T16:00:11Z,0,3aJsrdAvI4A,Music,data/Music/3aJsrdAvI4A.jpg
Miley Cyrus - Flowers (Official Video),MileyCyrusVEVO,G7KNmW9a75Y,https://i.ytimg.com/vi/G7KNmW9a75Y/hqdefault.jpg,2023-01-13T00:00:09Z,0,G7KNmW9a75Y,Music,data/Music/G7KNmW9a75Y.jpg
Harry Styles - Satellite (Official Video),HarryStylesVEVO,bGZplqeIb3w,https://i.ytimg.com/vi/bGZplqeIb3w/hqdefault.jpg,2023-05-03T16:00:07Z,0,bGZplqeIb3w,Music,data/Music/bGZplqeIb3w.jpg
Imagine Dragons - Bones (Official Music Video),ImagineDragonsVEVO,TO-_3tck2tg,https://i.ytimg.com/vi/TO-_3tck2tg/hqdefault.jpg,2022-04-06T16:00:15Z,0,TO-_3tck2tg,Music,data/Music/TO-_3tck2tg.jpg
Avery Anna - Self Love (Official Music Video),Avery Anna,s7ibuVG9v_4,https://i.ytimg.com/vi/s7ibuVG9v_4/hqdefault.jpg,2023-05-08T14:00:08Z,0,s7ibuVG9v_4,Music,data/Music/s7ibuVG9v_4.jpg
Tion Wayne - Healing (Official Music Video),Tion Wayne,ibVqF9NuGDU,https://i.ytimg.com/vi/ibVqF9NuGDU/hqdefault.jpg,2023-05-04T20:22:17Z,0,ibVqF9NuGDU,Music,data/Music/ibVqF9NuGDU.jpg
Motörhead – Enter Sandman (Official Video),Motörhead Official,kwJTpJjLJi4,https://i.ytimg.com/vi/kwJTpJjLJi4/hqdefault.jpg,2023-05-08T14:00:11Z,0,kwJTpJjLJi4,Music,data/Music/kwJTpJjLJi4.jpg
"will.i.am, Lil Wayne - THE FORMULA (Official Music Video)",williamVEVO,3hJawHSCqfg,https://i.ytimg.com/vi/3hJawHSCqfg/hqdefault.jpg,2023-05-06T01:00:01Z,0,3hJawHSCqfg,Music,data/Music/3hJawHSCqfg.jpg
Lil Poppa - MIND OVER MATTER Official Music Video),LilPoppaVEVO,QR2Gn1NjeQg,https://i.ytimg.com/vi/QR2Gn1NjeQg/hqdefault.jpg,2023-05-10T17:00:08Z,0,QR2Gn1NjeQg,Music,data/Music/QR2Gn1NjeQg.jpg
Katy Perry - Firework (Official Music Video),KatyPerryVEVO,QGJuMBdaqIw,https://i.ytimg.com/vi/QGJuMBdaqIw/hqdefault.jpg,2010-10-28T19:37:50Z,0,QGJuMBdaqIw,Music,data/Music/QGJuMBdaqIw.jpg
